tidy_tweet,sentiment_textblob,polarity,subjectivity
,neutral,0.0,0.0
,neutral,0.0,0.0
watch bjp national president shri ka dna conclave amitshahonzee,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
mainbhichowkidar,neutral,0.0,0.0
watch bjp president pm amitshahonzee,neutral,0.0,0.0
,neutral,0.0,0.0
watch repeat telecast bjp national president shri interview channel news network http,neutral,0.0,0.0
addressed huge gathering public meeting nabarangpur lok sabha constituency odisha,pos,0.20000000000000004,0.48333333333333334
people odisha faith pm modi politics development picture public meeting gajapati berh,neutral,0.0,0.06666666666666667
development odisha pm modi top priority th finance commission upa government gave r,pos,0.5,0.5
bjd government become synonymous corruption corruption amp commission culture normal tha,pos,0.15,0.6499999999999999
want ask naveen babu youth odisha migrate state livelihood assure peopl,neutral,0.0,0.0
naveen babu ruling past two decade cannot even speak odia without paper appeal people odish,neg,-0.25,0.25
live shri addressing public meeting nabarangpur odisha,pos,0.06818181818181818,0.2833333333333333
,neutral,0.0,0.0
proudly announce shri thushar vellappally president bharat dharma jana sena nda candidate wayanad,pos,0.8,1.0
live shri address public meeting gajapati odisha,pos,0.06818181818181818,0.2833333333333333
,neutral,0.0,0.0
,neutral,0.0,0.0
bjp national president shri address public meeting odisha rally berhampur lok sabha time,neutral,0.0,0.06666666666666667
mainbhichowkidar,neutral,0.0,0.0
live bjp national president shri news agendaindia,pos,0.13636363636363635,0.5
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
chowkidars committed strong amp prosperous india watch mainbhichowkidar programme,pos,0.4333333333333333,0.7333333333333333
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
watch bjp national president shri news agendaindia today pm watch live,pos,0.13636363636363635,0.5
,neutral,0.0,0.0
phirekbaarmodisarkaar,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
live shri address public meeting dhampur uttar pradesh,pos,0.06818181818181818,0.2833333333333333
,neutral,0.0,0.0
sure community vibrant professional especially youngster enliven mainbhichowkidar programme,pos,0.19166666666666665,0.5805555555555555
day looking forward pm lakh chowkidars different part india interac,neutral,0.0,0.6
lakh chowkidars every part india join mainbhichowkidar programme nearest,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
phirekbaarmodisarkar,neutral,0.0,0.0
,neutral,0.0,0.0
road show gandhinagar loksabha,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
nda,neutral,0.0,0.0
,neutral,0.0,0.0
tmc government nothing example appeasement vote bank politics crore rupee,neutral,0.0,0.0
vote bank politics mamata didi forcefully making urdu language compulsory every school name ben,neutral,0.0,0.0
earlier used hear sound rabindra sangeet west bengal hear sound bomb expl,pos,0.26666666666666666,0.43333333333333335
everyone asking happen west bengal full faith people bengal confid,pos,0.35,0.55
shri address public meeting gandhi maidan aurangabad bihar,neutral,0.0,0.06666666666666667
thank people west bengal phenomenal support alipurduar phirekbaarmodisarkaar,pos,0.5,0.5
west bengal yearning change look crowd public meeting alipurduar west bengal,neutral,0.0,0.06666666666666667
live shri addressing public meeting parade ground alipurduar west bengal,neg,-0.03787878787878788,0.26666666666666666
,neutral,0.0,0.0
live bjp national president shri india tv aap ki adalat amitshahatindiatv,pos,0.13636363636363635,0.5
congress opposition party questioned modi government airstrike surgical strike pakis,neutral,0.0,0.0
congress government encouraged illegal infiltrator vote bank politics want assure peo,neg,-0.5,0.5
one side selfish distorted confused gathbandhan rahul gandhi hand,neg,-0.45,0.85
year congress nothing development assam former pm manmohan singh member rajya sabh,neutral,0.0,0.0
glimpse public meeting jorhat assam,neutral,0.0,0.06666666666666667
great enthusiasm public meeting kaliabor assam congress aiudf unholy nexus assam congre,pos,0.4,0.4083333333333333
live shri address public meeting teok assam indiawithnamo,pos,0.06818181818181818,0.2833333333333333
live shri addressing public meeting kaliabor assam indiawithnamo,pos,0.06818181818181818,0.2833333333333333
campaign lok sabha election begin addressing two public meeting assam one kaliabor,neutral,0.0,0.06666666666666667
truth proficient scientist always talent capability needed go ahead,neutral,0.0,0.0
anti satellite asat missile successfully tested space seems people earth also got,pos,0.75,0.95
thus speaks inheritor dynasty think nation stage sacrifice soldier,neutral,0.0,0.0
,neutral,0.0,0.0
proud moment indian congratulate scientist involved missionshakti thank pr,pos,0.8,1.0
decisive leadership lead stronger nation missionshakti india registered presence among e,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
bjpvijaysan,neutral,0.0,0.0
mainbhichowkida,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
latest announcement congress party tested simple arithmetic le rd existi,pos,0.25,0.6285714285714286
last year govt headed pm introduced dbt bank besides subsidy food fertil,neutral,0.0,0.06666666666666667
today industrial worker get month minimum starting salary govt th cpc,neutral,0.0,0.1
nehruvian model stagnated growth indira gandhi gave legendary slogan garibi hatao amp redistributed pover,pos,1.0,1.0
political party betrayed india seven decade congress party gave people india,neutral,0.0,0.1
prime minister narendra modi already giving poor much congress promise,neg,-0.1,0.4
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
sharing interesting section website give comprehensive glimpse nda government work vario,pos,0.5,0.5
join prime minister shri st march pm strengthen mainbhichowkidar movement look forw,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
congress president must apologise soldier martyr family people country,neutral,0.0,0.0
making anti national statement politics appeasement vote bank congress party dirty old trick mor,neg,-0.25,0.5
congress party say answer terrorist attack peaceful talk action like,pos,0.175,0.3
saying country held responsible people rahul also agree pakista,pos,0.2,0.55
want ask rahul gandhi agrees sam pitroda statement consider heinous pulwama terrorist att,neutral,0.0,0.0
live medium briefing bjp national president shri bjp hq congressinsultsindia,pos,0.13636363636363635,0.5
,neutral,0.0,0.0
,neutral,0.0,0.0
central election committee meeting bjp hq new delhi,pos,0.06818181818181818,0.3522727272727273
fake issue collapsed desperate relying forgery congress campaign sh,neg,-0.55,1.0
difference opposition bjp clear suspect army proud army heart beat,pos,0.45,0.6916666666666667
opposition insult force time appeal fellow indian question opposition leader statem,neutral,0.0,0.0
opposition natural habitat terror apologist questioner armed force reprehensible statemen,pos,0.1,0.4
loyal courtier congress royal dynasty admits nation already knew congress unwilling respond force,pos,0.3333333333333333,0.8333333333333334
trusted advisor guide congress president kick started pakistan national day celebration b,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
neda,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
,neutral,0.0,0.0
bjp central election committee meeting bjp hq new delhi,pos,0.06818181818181818,0.3522727272727273
,neutral,0.0,0.0
h,neutral,0.0,0.0
biggest casualty dynastic politics institution press parliament soldier free speech,pos,0.4,0.8
,neutral,0.0,0.0
bjp central election committee meeting bjp hq new delhi,pos,0.06818181818181818,0.3522727272727273
agenda part nda government economy report card v predecessor,neutral,0.0,0.0
greeting newly sworn chief minister goa dr pramod sawant team sure new leade,pos,0.25757575757575757,0.5993265993265994
